row_index,entry_doduo,entry_doduo_el,predict_doduo,predict_doduo_el,similarity,ground_truth
1626,"COL title business.industry VAL infosleuth : semantic integration of information in open and dynamic environments ( experience paper ) COL authors people.person VAL gale martin , ray shea , tomasz ksiezyk , roberto j. bayardo jr. , marian h. nodine , william bohrer , vipul kashyap , c. unnikrishnan , richard s. brice , mosfeq rashid , amy unruh , abdelsalam helal , andrzej cichocki , marek rusinkiewicz , darrell woelk , jerry fowler COL venue organization.organization VAL sigmod conference COL year time.event VAL 1997 COL title business.industry VAL infosleuth : agent-based semantic integration of information in open and dynamic environments COL authors people.person VAL r. j. bayardo , jr. , w. bohrer , r. brice , a. cichocki , j. fowler , a. helal , v. kashyap , t. ksiezyk , g. martin , m. nodine , m. rashid , m. rusinkiewicz , r. shea , c. unnikrishnan , a. unruh , d. woelk COL venue book.periodical VAL international conference on management of data COL year time.event VAL 1997","COL title business.industry VAL infosleuth (set) : semantic integration of information in open and dynamic environments ( experience paper )  COL authors people.person VAL gale martin (scientist) , ray shea , tomasz ksiezyk , roberto j. bayardo jr. , marian h. nodine , william bohrer , vipul kashyap , c. unnikrishnan , richard s. brice , mosfeq rashid , amy unruh , abdelsalam helal , andrzej cichocki , marek rusinkiewicz , darrell woelk , jerry fowler  COL venue organization.organization VAL sigmod conference (occurrence)  COL year time.event VAL 1997 (collection) COL title business.industry VAL infosleuth (system) : agent-based semantic integration of information in open and dynamic environments  COL authors people.person VAL r. j. bayardo (writer) , jr. , w. bohrer , r. brice , a. cichocki , j. fowler , a. helal , v. kashyap , t. ksiezyk , g. martin , m. nodine , m. rashid , m. rusinkiewicz , r. shea , c. unnikrishnan , a. unruh , d. woelk  COL venue book.periodical VAL international conference on management of data (series)  COL year time.event VAL 1997 (collection)",1,1,0.4444517288520465,1
2437,"COL title business.industry VAL the mariposa distributed database management system COL authors people.person VAL jeff sidell COL venue organization.organization VAL sigmod record COL year time.event VAL 1996 COL title business.industry VAL mariposa : a wide-area distributed database system COL authors people.person VAL michael stonebraker , paul m. aoki , witold litwin , avi pfeffer , adam sah , jeff sidell , carl staelin , andrew yu COL venue book.periodical VAL the vldb journal -- the international journal on very large data bases COL year time.event VAL 1996","COL title business.industry VAL the mariposa distributed database management system (software)  COL authors people.person VAL jeff sidell (sports figure)  COL venue organization.organization VAL sigmod (album) record  COL year time.event VAL 1996 (periodic process) COL title business.industry VAL mariposa (software) : a wide-area distributed database system  COL authors people.person VAL michael stonebraker (creator) , paul m. aoki , witold litwin , avi pfeffer , adam sah , jeff sidell , carl staelin , andrew yu  COL venue book.periodical VAL the vldb journal (behavior) -- the international journal on very large data bases  COL year time.event VAL 1996 (periodic process)",0,0,0.7147622155683538,0
682,"COL title business.industry VAL reminiscences on influential papers COL authors people.person VAL theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross COL venue organization.organization VAL sigmod record COL year time.event VAL 2002 COL title business.industry VAL reminiscences on influential papers COL authors people.person VAL kenneth a. ross COL venue book.periodical VAL acm sigmod record COL year time.event VAL 2002","COL title business.industry VAL reminiscences on influential papers  COL authors people.person VAL theodore johnson (professional) , amr el abbadi , richard t. snodgrass , kenneth a. ross  COL venue organization.organization VAL sigmod (album) record  COL year time.event VAL 2002 (sports competition) COL title business.industry VAL reminiscences on influential papers  COL authors people.person VAL kenneth a. ross (human)  COL venue book.periodical VAL acm sigmod (artificial physical object) record  COL year time.event VAL 2002 (sports competition)",0,1,0.3690434314993716,0
1619,"COL title business.industry VAL declarative specification of web sites with strudel COL authors people.person VAL alon y. levy , dan suciu , daniela florescu , mary f. fernandez COL venue organization.organization VAL vldb j. COL year time.event VAL 2000 COL title business.industry VAL declarative specification of web sites with s COL authors people.person VAL mary fern &#225; ndez , daniela florescu , alon levy , dan suciu COL venue book.periodical VAL the vldb journal -- the international journal on very large data bases COL year time.event VAL 2000","COL title business.industry VAL declarative specification of web sites with strudel (class)  COL authors people.person VAL alon y. levy (writer) , dan suciu , daniela florescu , mary f. fernandez  COL venue organization.organization VAL vldb j. (professional)  COL year time.event VAL 2000 (sports competition) COL title business.industry VAL declarative specification of web sites with s  COL authors people.person VAL mary fern (artist) &#225; ndez , daniela florescu , alon levy , dan suciu  COL venue book.periodical VAL the vldb journal (behavior) -- the international journal on very large data bases  COL year time.event VAL 2000 (sports competition)",1,0,0.16522033079880966,1
1682,COL title business.industry VAL advanced xml data processing - guest editor 's introduction COL authors people.person VAL karl aberer COL venue organization.organization VAL sigmod record COL year time.event VAL 2001 COL title business.industry VAL special section on advanced xml data processing COL authors people.person VAL  COL venue book.periodical VAL acm sigmod record COL year time.event VAL 2001,COL title business.industry VAL advanced xml data processing (series) - guest editor 's introduction  COL authors people.person VAL karl aberer (professional)  COL venue organization.organization VAL sigmod (album) record  COL year time.event VAL 2001 (sports competition) COL title business.industry VAL special section on advanced xml data processing (communication medium)  COL authors people.person VAL  COL venue book.periodical VAL acm sigmod (artificial physical object) record  COL year time.event VAL 2001 (sports competition),0,1,0.30120407540673577,0
1724,COL title business.industry VAL application servers and associated technologies COL authors people.person VAL c. mohan COL venue organization.organization VAL vldb COL year time.event VAL 2002 COL title business.industry VAL tutorial : application servers and associated technologies COL authors people.person VAL c. mohan COL venue book.periodical VAL international conference on management of data COL year time.event VAL 2002,COL title business.industry VAL application servers and associated technologies  COL authors people.person VAL c. mohan (professional)  COL venue organization.organization VAL vldb (organization)  COL year time.event VAL 2002 (sports competition) COL title business.industry VAL tutorial : application servers (software category) and associated technologies  COL authors people.person VAL c. mohan (professional)  COL venue book.periodical VAL international conference on management of data (series)  COL year time.event VAL 2002 (sports competition),0,1,0.07625206407805647,0
694,"COL title business.industry VAL a content-based multimedia server for massively parallel architectures COL authors people.person VAL c. watson , g. linderman , euthimios panagos , t. walters , ion tim ieong , alexandros biliris , j. wang , s. choo , david schrader , p. colin , william o'connell , grace au COL venue organization.organization VAL sigmod conference COL year time.event VAL 1996 COL title business.industry VAL a teradata content-based multimedia object manager for massively parallel architectures COL authors people.person VAL w. o'connell , i. t. ieong , d. schrader , c. watson , g. au , a. biliris , s. choo , p. colin , g. linderman , e. panagos , j. wang , t. walter COL venue book.periodical VAL international conference on management of data COL year time.event VAL 1996","COL title business.industry VAL a content-based multimedia server for massively parallel architectures (class)  COL authors people.person VAL c. watson (scientist) , g. linderman , euthimios panagos , t. walters , ion tim ieong , alexandros biliris , j. wang , s. choo , david schrader , p. colin , william o'connell , grace au  COL venue organization.organization VAL sigmod conference (occurrence)  COL year time.event VAL 1996 (periodic process) COL title business.industry VAL a teradata content-based multimedia object manager for massively parallel architectures (class)  COL authors people.person VAL w. o'connell (creator) , i. t. ieong , d. schrader , c. watson , g. au , a. biliris , s. choo , p. colin , g. linderman , e. panagos , j. wang , t. walter  COL venue book.periodical VAL international conference on management of data (series)  COL year time.event VAL 1996 (periodic process)",0,1,0.40384447267882323,1
821,"COL title business.industry VAL ensuring consistency in multidatabases by preserving two-level serializability COL authors people.person VAL sharad mehrotra COL venue organization.organization VAL acm trans . database syst . COL year time.event VAL 1998 COL title business.industry VAL ensuring consistency in multidatabases by preserving two-level serializability COL authors people.person VAL sharad mehrotra , rajeev rastogi , henry f. korth , abraham silberschatz COL venue book.periodical VAL acm transactions on database systems ( tods ) COL year time.event VAL 1998","COL title business.industry VAL ensuring consistency in multidatabases by preserving two-level serializability  COL authors people.person VAL sharad mehrotra (human)  COL venue organization.organization VAL acm (abstract object) trans . database syst .  COL year time.event VAL 1998 (periodic process) COL title business.industry VAL ensuring consistency in multidatabases by preserving two-level serializability  COL authors people.person VAL sharad mehrotra (non-fiction writer) , rajeev rastogi , henry f. korth , abraham silberschatz  COL venue book.periodical VAL acm transactions on database systems ( tods (class) )  COL year time.event VAL 1998 (periodic process)",0,1,0.22916697214238732,1
956,"COL title business.industry VAL stream : the stanford stream data manager COL authors people.person VAL jennifer widom , mayur datar , shivnath babu , justin rosenstein , itaru nishizawa , arvind arasu , keith ito , brian babcock COL venue organization.organization VAL sigmod conference COL year time.event VAL 2003 COL title business.industry VAL stream : the stanford stream data manager ( demonstration description ) COL authors people.person VAL arvind arasu , brian babcock , shivnath babu , mayur datar , keith ito , itaru nishizawa , justin rosenstein , jennifer widom COL venue book.periodical VAL international conference on management of data COL year time.event VAL 2003","COL title business.industry VAL stream : the stanford stream data manager (software)  COL authors people.person VAL jennifer widom (author) , mayur datar , shivnath babu , justin rosenstein , itaru nishizawa , arvind arasu , keith ito , brian babcock  COL venue organization.organization VAL sigmod conference (occurrence)  COL year time.event VAL 2003 (sports competition) COL title business.industry VAL stream : the stanford stream data manager (series) ( demonstration description )  COL authors people.person VAL arvind arasu (writer) , brian babcock , shivnath babu , mayur datar , keith ito , itaru nishizawa , justin rosenstein , jennifer widom  COL venue book.periodical VAL international conference on management of data (series)  COL year time.event VAL 2003 (sports competition)",0,1,0.23218307844847366,1
997,"COL title business.industry VAL data mining : concepts and techniques - book review COL authors people.person VAL fernando berzal galiano , nicolás marín COL venue organization.organization VAL sigmod record COL year time.event VAL 2002 COL title business.industry VAL data mining : concepts and techniques by jiawei han and micheline kamber COL authors people.person VAL fernando berzal , nicolf &#225; s mat &#237; n COL venue book.periodical VAL acm sigmod record COL year time.event VAL 2002","COL title business.industry VAL data mining : concepts and techniques (series) - book review  COL authors people.person VAL fernando berzal galiano (sports figure) , nicolás marín  COL venue organization.organization VAL sigmod (album) record  COL year time.event VAL 2002 (sports competition) COL title business.industry VAL data mining : concepts and techniques by jiawei han and micheline kamber  COL authors people.person VAL fernando berzal (professional) , nicolf &#225; s mat &#237; n  COL venue book.periodical VAL acm sigmod (artificial physical object) record  COL year time.event VAL 2002 (sports competition)",0,1,0.4194925631568775,1
1457,"COL title business.industry VAL reminiscences on influential papers COL authors people.person VAL hector garcia-molina , patricia g. selinger , tomasz imielinski , david maier , jeffrey d. ullman , richard t. snodgrass COL venue organization.organization VAL sigmod record COL year time.event VAL 1998 COL title business.industry VAL reminiscences on influential papers COL authors people.person VAL richard snodgrass COL venue book.periodical VAL acm sigmod record COL year time.event VAL 1998","COL title business.industry VAL reminiscences on influential papers  COL authors people.person VAL hector garcia-molina (scientist) , patricia g. selinger , tomasz imielinski , david maier , jeffrey d. ullman , richard t. snodgrass  COL venue organization.organization VAL sigmod (album) record  COL year time.event VAL 1998 (periodic process) COL title business.industry VAL reminiscences on influential papers  COL authors people.person VAL richard snodgrass (professional)  COL venue book.periodical VAL acm sigmod (artificial physical object) record  COL year time.event VAL 1998 (periodic process)",0,1,0.30817218601149876,1
